Variável ;Descrição 
N_EDIFICIOS_CLASSICOS;Nº de edifícios clássicos 
N_EDIFICIOS_CLASS_CONST_1OU2 ALOJ;Nº de edifícios clássicos, construídos para ter 1 ou 2 alojamentos
N_EDIFICIOS_CLASS_CONST_3OUMAIS ALOJAMENTOS;Nº de edifícios clássicos, construídos para ter 3 ou mais alojamentos
N_EDIFICIOS_EXCLUSIV_RESID;Nº de edifícios exclusivamente residenciais
N_EDIFICIOS_1OU2_PISOS;Nº de edificios com 1 ou 2 pisos
N_EDIFICIOS_3 MAIS_PISOS;Nº de edificios com 3 ou mais pisos
N_EDIFICIOS_CONSTR_ANTES 1945;Nº de edificios construídos antes de 1945
N_EDIFICIOS_CONSTR_1946A1980;Nº de edificios construídos entre 1946 e 1980
N_EDIFICIOS_CONSTR_1981A2000;Nº de edificios construídos entre 1981 e 2000
N_EDIFICIOS_CONSTR_2001_2010;Nº de edificios construídos entre 2001 e 2010
N_EDIFICIOS_CONSTR_2011_2021;Nº de edificios construídos entre 2011 e 2021
N_EDIFICIOS_COM NECESSIDADES REPARAÇAO;Nº de edificios com necessidades de reparação
N_ALOJAMENTOS_TOTAL;Nº de alojamentos total
N_ALOJAMENTOS_FAMILIARES;Nº de alojamentos familiares
N_ALOJAMENTOS_ FAM_CLASS_RHABITUAL;Nº de alojamentos familiares clássicos de residência habitual 
N_ALOJAMENTOS_ FAM_CLASS_VAGOS OU RESID SECUNDARIA;Nº de alojamentos familiares clássicos vagos ou de residência secundária
N_RHABITUAL_ACESSIVEL CADEIRAS RODAS;Nº de alojamentos familiares clássicos de residência habitual acessíveis a cadeira de rodas
N_RHABITUAL_COM ESTACIONAMENTO;Nº de alojamentos familiares clássicos de residência habitual com estacionamento
N_RHABITUAL_PROP_OCUP;Nº de alojamentos familiares clássicos de residência habitual propriedade dos ocupantes
N_RHABITUAL_ARRENDADOS;Nº de alojamentos familiares clássicos de residência habitual arrendados
N_AGREGADOS DOMESTICOS PRIVADOS ;Nº de agregados domésticos privados
N_ADP_1OU2_PESSOAS;Nº de agregados domésticos privados com 1 ou 2 pessoas
N_ADP_3OU MAIS PESSOAS;Nº de agregados domésticos privados com 3 ou mais pessoas
N_NUCLEOS FAMILIARES;Nº de núcleos familiares
N_NUCLEOS FAMILIARES COM FILHOS, TENDO O MAIS NOVO MENOS DE 25 ANOS;Nº de núcleos familiares com filhos, tendo o mais novo menos de 25 anos
N_INDIVIDUOS;Nº total de indivíduos
N_INDIVIDUOS_H;Nº de indivíduos do sexo masculino
N_INDIVIDUOS_M;Nº de indivíduos do sexo feminino
N_INDIVIDUOS_0A14;Nº de indivíduos com idade entre os 0 e os 14 anos
N_INDIVIDUOS_15A24;Nº de indivíduos com idade entre os 15 e os 24 anos
N_INDIVIDUOS_25A64;Nº de indivíduos com idade entre os 25 e os 64 anos
N_INDIVIDUOS_65_OU_MAIS;Nº de indivíduos com 65 ou mais anos de idade 
